"names","x","exp"
"1","(Intercept)",9.09412774277814,8902.85902393152
"2","GenderMale",0.158542519822362,1.17180174796811
"3","RatingArea1B",0.403240387805675,1.49666662883037
"4","RatingArea2A",0.429473589779151,1.5364485084314
"5","RatingArea2B",0.305445848742107,1.35722998741307
"6","RatingArea3A",0.411741200043512,1.50944374180036
"7","RatingArea3B",0.470076669857926,1.60011686924755
"8","RatingArea4A",0.396974657612487,1.48731823737857
"9","RatingArea4B",0.459767562336153,1.58370582932633
"10","RatingArea5A",0.56911993982479,1.76671155458844
"11","RatingArea5B",0.802028203913569,2.23005935991467
"12","RatingArea6A",-0.265430943452419,0.7668753988246
"13","NCD1",-0.187380407409218,0.829128269849261
"14","NCD2",-0.337032993347069,0.713885286049152
"15","NCD3",-0.384849064738905,0.680553347950242
"16","NCD4",-0.462063258203242,0.629982487121207
"17","NCDUnknown",-0.442089413231162,0.642692167703024
"18","ProtectedNCDY",-0.205568010030313,0.814184719956676
"19","DrivingRestrictionNamed",-0.109469968835319,0.896309081163557
"20","VehicleAge1",-0.251563542859662,0.777584046125992
"21","VehicleAge2",-0.256471362118849,0.773777153580338
"22","VehicleAge3",-0.254735660906483,0.775121365761794
"23","VehicleAge4",-0.294073544198436,0.745221682696569
"24","VehicleAge5",-0.459848771236811,0.631379120970994
"25","VehicleAge6",-0.546807824764128,0.578794477962183
"26","VehicleAge7",-0.485625456231278,0.61531222551987
"27","VehicleAge8",-0.671726194154248,0.510826031373265
"28","VehicleAge9",-0.857586149530856,0.424184766114987
"29","VehicleAge10",-0.919326707020375,0.39878745150641
"30","VehicleAge11",-1.19954149828138,0.30133234163994
"31","VehicleAge12",-1.31874442674247,0.267470920559916
"32","VehicleAge13",-1.06846486931689,0.343535484696694
"33","VehicleAge14",-1.03892794395926,0.353833808371772
"34","VehicleAge15",-2.14884037670466,0.116619313866321
